Property Description,Approximate Address,Account #,Minimum Bid,Google Maps Street View Link
"West 4 feet of Lot 22, Block 2, Russell High Addition",N/A,R000041940,1000,Street View not available
"0.000135000 MASSEY UNIT, PARSLEY ENERGY OP, T1S BLK X SECTION 1",N/A,N000354720,2000,Street View not available
"Lot 12, Block 16, Greenwood Addition","401 S Lincoln St, Midland, TX",R23474,12000,"https://www.google.com/maps?layer=c&cbll=401+S+Lincoln+St,+Midland,+TX"
"1.260 Acres, out of NW quarter of Section 12, Block 41, T-1-S, T&P RR","11600 West County Road 33, Midland County, TX",R106099,9000,"https://www.google.com/maps?layer=c&cbll=11600+West+County+Road+33,+Midland+County,+TX"
".340 Acre, out of NW quarter of Section 12, Block 41, T-1-S, T&P RR","1297 County Road, Midland County, TX",R8345,5000,"https://www.google.com/maps?layer=c&cbll=1297+County+Road,+Midland+County,+TX"
"Lot 7, Block 6, Lynside Neighborhood Addition","1210 Cottonwood Ave, Midland, TX",R29993,40000,"https://www.google.com/maps?layer=c&cbll=1210+Cottonwood+Ave,+Midland,+TX"
"1.00 Acre, West 100 feet of North 436 feet of Tract 3, City of View Acres Subdivision","1810 Cloverdale, Midland, TX",R13486,36000,"https://www.google.com/maps?layer=c&cbll=1810+Cloverdale,+Midland,+TX"
"Lot 13, Block 7, Fairway Park Addition","4307 Trevino St, Midland, TX",R19536,27000,"https://www.google.com/maps?layer=c&cbll=4307+Trevino+St,+Midland,+TX"
"Lot 12, Block 2, Richardson's Abilene Street Addition","806 N Loraine St, Midland, TX",R41038,2000,"https://www.google.com/maps?layer=c&cbll=806+N+Loraine+St,+Midland,+TX"
"West 113 feet of Lot 18, Block 1, Lindsay Acres Addition","519 W. Hicks, Midland, TX",R28558,9000,"https://www.google.com/maps?layer=c&cbll=519+W.+Hicks,+Midland,+TX"
"Lot 12, Block 87, Permian Estates Addition","4205 Pleasant Dr, Midland, TX",R38952,23000,"https://www.google.com/maps?layer=c&cbll=4205+Pleasant+Dr,+Midland,+TX"
"Lot 9, Block 10, 349 Ranch Estates Addition","6502 Waukomis Pl, Midland, TX",R48230,8000,"https://www.google.com/maps?layer=c&cbll=6502+Waukomis+Pl,+Midland,+TX"
"Lot 6, Block 13, Parklea Addition","2610 Roosevelt Ave, Midland, TX",R36472,9000,"https://www.google.com/maps?layer=c&cbll=2610+Roosevelt+Ave,+Midland,+TX"
"Lot 29, Block 11, Hyde Park Addition","3535 Imperial Ave, Midland, TX",R26458,19000,"https://www.google.com/maps?layer=c&cbll=3535+Imperial+Ave,+Midland,+TX"
